Parameter,Row index,Col index,Well specified value,Misspecified value,run_ID,n,m,K,s,nu
pp,2,1,2e-4,7.397482562832441e-4,387,100001,2,20,1,10
pp,1,2,2e-4,0.001097756307700994,387,100001,2,20,1,10
pp,2,2,0.9998,0.9992602517437167,387,100001,2,20,1,10
s,1,1,1,1,387,100001,2,20,1,10
Pi,1,1,0.5,0.5,388,100001,2,100,1,10
Pi,2,1,0.5,0.5,388,100001,2,100,1,10
pp,1,1,0.999,0.9931287456492341,388,100001,2,100,1,10
pp,2,1,0.001,0.008730290443268894,388,100001,2,100,1,10
pp,1,2,0.001,0.006871254350765826,388,100001,2,100,1,10
pp,2,2,0.999,0.9912697095567311,388,100001,2,100,1,10
s,1,1,1,1,388,100001,2,100,1,10
Pi,1,1,0.5,0.5,389,100001,2,2000,1,10
Pi,2,1,0.5,0.5,389,100001,2,2000,1,10
pp,1,1,0.98,0.8594587389330882,389,100001,2,2000,1,10
pp,2,1,0.02,0.14080050503219296,389,100001,2,2000,1,10
pp,1,2,0.02,0.1405412610669118,389,100001,2,2000,1,10
pp,2,2,0.98,0.8591994949678071,389,100001,2,2000,1,10
s,1,1,1,1,389,100001,2,2000,1,10
Pi,1,1,0.5,0.5,390,100001,2,20,1,10
Pi,2,1,0.5,0.5,390,100001,2,20,1,10
pp,1,1,0.9998,0.9988314767009321,390,100001,2,20,1,10
pp,2,1,2e-4,0.0016775114090194295,390,100001,2,20,1,10
pp,1,2,2e-4,0.0011685232990679107,390,100001,2,20,1,10
pp,2,2,0.9998,0.9983224885909806,390,100001,2,20,1,10
s,1,1,1,1,390,100001,2,20,1,10
Pi,1,1,0.5,0.5,391,100001,2,1,1,10
Pi,2,1,0.5,0.5,391,100001,2,1,1,10
pp,1,1,0.99999,0.9999051304205747,391,100001,2,1,1,10
pp,2,1,1e-5,9.660991720400445e-5,391,100001,2,1,1,10
pp,1,2,1e-5,9.486957942540795e-5,391,100001,2,1,1,10
pp,2,2,0.99999,0.999903390082796,391,100001,2,1,1,10
s,1,1,1,1,391,100001,2,1,1,10
Pi,1,1,0.5,0.5,392,100001,2,2000,1,10
Pi,2,1,0.5,0.5,392,100001,2,2000,1,10
pp,1,1,0.98,0.9819014630789658,392,100001,2,2000,1,10
pp,2,1,0.02,0.0707638571851922,392,100001,2,2000,1,10
pp,1,2,0.02,0.01809853692103424,392,100001,2,2000,1,10
pp,2,2,0.98,0.9292361428148079,392,100001,2,2000,1,10
s,1,1,1,1,392,100001,2,2000,1,10
Pi,1,1,0.5,0.5,393,100001,2,10,1,10
Pi,2,1,0.5,0.5,393,100001,2,10,1,10
pp,1,1,0.9999,0.9995127830138785,393,100001,2,10,1,10
pp,2,1,1e-4,5.188388083505085e-4,393,100001,2,10,1,10
pp,1,2,1e-4,4.872169861215214e-4,393,100001,2,10,1,10
pp,2,2,0.9999,0.9994811611916495,393,100001,2,10,1,10
s,1,1,1,1,393,100001,2,10,1,10
Pi,1,1,0.5,0.5,394,100001,2,100,1,10
Pi,2,1,0.5,0.5,394,100001,2,100,1,10
pp,1,1,0.999,0.9935285324114137,394,100001,2,100,1,10
pp,2,1,0.001,0.009634738298642927,394,100001,2,100,1,10
pp,1,2,0.001,0.006471467588586246,394,100001,2,100,1,10
pp,2,2,0.999,0.9903652617013571,394,100001,2,100,1,10
s,1,1,1,1,394,100001,2,100,1,10
Pi,1,1,0.5,0.5,395,100001,2,200,1,10
Pi,2,1,0.5,0.5,395,100001,2,200,1,10
pp,1,1,0.998,0.9961208061180958,395,100001,2,200,1,10
pp,2,1,0.002,0.0022362554003163455,395,100001,2,200,1,10
pp,1,2,0.002,0.003879193881904112,395,100001,2,200,1,10
pp,2,2,0.998,0.9977637445996838,395,100001,2,200,1,10
s,1,1,1,1,395,100001,2,200,1,10
Pi,1,1,0.5,0.5,396,100001,2,10,1,10
Pi,2,1,0.5,0.5,396,100001,2,10,1,10
pp,1,1,0.9999,0.999880056505902,396,100001,2,10,1,10
pp,2,1,1e-4,4.163390122895624e-4,396,100001,2,10,1,10
pp,1,2,1e-4,1.199434940980454e-4,396,100001,2,10,1,10
pp,2,2,0.9999,0.9995836609877103,396,100001,2,10,1,10
s,1,1,1,1,396,100001,2,10,1,10
Pi,1,1,0.5,0.5,397,100001,2,100,1,10
Pi,2,1,0.5,0.5,397,100001,2,100,1,10
pp,1,1,0.999,0.9988522933538326,397,100001,2,100,1,10
pp,2,1,0.001,0.007128520174652338,397,100001,2,100,1,10
pp,1,2,0.001,0.0011477066461674105,397,100001,2,100,1,10
pp,2,2,0.999,0.9928714798253477,397,100001,2,100,1,10
s,1,1,1,1,397,100001,2,100,1,10
Pi,1,1,0.5,0.5,398,100001,2,10,1,10
Pi,2,1,0.5,0.5,398,100001,2,10,1,10
pp,1,1,0.9999,0.9994230562010833,398,100001,2,10,1,10
pp,2,1,1e-4,4.5583164890954656e-4,398,100001,2,10,1,10
pp,1,2,1e-4,5.769437989166714e-4,398,100001,2,10,1,10
pp,2,2,0.9999,0.9995441683510904,398,100001,2,10,1,10
s,1,1,1,1,398,100001,2,10,1,10
Pi,1,1,0.5,0.5,399,100001,2,2,1,10
Pi,2,1,0.5,0.5,399,100001,2,2,1,10
pp,1,1,0.99998,0.9999856861416886,399,100001,2,2,1,10
pp,2,1,2e-5,1.5736704834443525e-4,399,100001,2,2,1,10
pp,1,2,2e-5,1.431385831140975e-5,399,100001,2,2,1,10
pp,2,2,0.99998,0.9998426329516557,399,100001,2,2,1,10
s,1,1,1,1,399,100001,2,2,1,10
Pi,1,1,0.5,0.5,400,100001,2,200,1,10
Pi,2,1,0.5,0.5,400,100001,2,200,1,10
pp,1,1,0.998,0.9981734944111519,400,100001,2,200,1,10
pp,2,1,0.002,0.01380054006672907,400,100001,2,200,1,10
pp,1,2,0.002,0.001826505588848118,400,100001,2,200,1,10
pp,2,2,0.998,0.986199459933271,400,100001,2,200,1,10
s,1,1,1,1,400,100001,2,200,1,10
Pi,1,1,0.5,0.5,401,100001,2,200,1,10
Pi,2,1,0.5,0.5,401,100001,2,200,1,10
pp,1,1,0.998,0.9925015528272615,401,100001,2,200,1,10
pp,2,1,0.002,0.012983456566759513,401,100001,2,200,1,10
pp,1,2,0.002,0.0074984471727386265,401,100001,2,200,1,10
pp,2,2,0.998,0.9870165434332405,401,100001,2,200,1,10
s,1,1,1,1,401,100001,2,200,1,10
Pi,1,1,0.5,0.5,402,100001,2,100,1,10
Pi,2,1,0.5,0.5,402,100001,2,100,1,10
pp,1,1,0.999,0.9958884341215494,402,100001,2,100,1,10
pp,2,1,0.001,0.008069678883281025,402,100001,2,100,1,10
pp,1,2,0.001,0.004111565878450703,402,100001,2,100,1,10
pp,2,2,0.999,0.9919303211167189,402,100001,2,100,1,10
s,1,1,1,1,402,100001,2,100,1,10
Pi,1,1,0.5,0.5,403,100001,2,1,1,10
Pi,2,1,0.5,0.5,403,100001,2,1,1,10
pp,1,1,0.99999,0.999978655903563,403,100001,2,1,1,10
pp,2,1,1e-5,6.117109064985103e-5,403,100001,2,1,1,10
pp,1,2,1e-5,2.1344096436996285e-5,403,100001,2,1,1,10
pp,2,2,0.99999,0.9999388289093503,403,100001,2,1,1,10
s,1,1,1,1,403,100001,2,1,1,10
Pi,1,1,0.5,0.5,404,100001,2,5,1,10
Pi,2,1,0.5,0.5,404,100001,2,5,1,10
pp,1,1,0.99995,0.9996612061300709,404,100001,2,5,1,10
pp,2,1,5e-5,1.3699696035018513e-4,404,100001,2,5,1,10
pp,1,2,5e-5,3.3879386992899727e-4,404,100001,2,5,1,10
pp,2,2,0.99995,0.9998630030396499,404,100001,2,5,1,10
s,1,1,1,1,404,100001,2,5,1,10
Pi,1,1,0.5,0.5,405,100001,2,2000,1,10
Pi,2,1,0.5,0.5,405,100001,2,2000,1,10
pp,1,1,0.98,0.8575251910850781,405,100001,2,2000,1,10
pp,2,1,0.02,0.018880527347508554,405,100001,2,2000,1,10
pp,1,2,0.02,0.14247480891492195,405,100001,2,2000,1,10
pp,2,2,0.98,0.9811194726524914,405,100001,2,2000,1,10
s,1,1,1,1,405,100001,2,2000,1,10
Pi,1,1,0.5,0.5,406,100001,2,5,1,10
Pi,2,1,0.5,0.5,406,100001,2,5,1,10
pp,1,1,0.99995,0.9996253848846235,406,100001,2,5,1,10
pp,2,1,5e-5,4.754930772758685e-4,406,100001,2,5,1,10
pp,1,2,5e-5,3.746151153764995e-4,406,100001,2,5,1,10
pp,2,2,0.99995,0.9995245069227241,406,100001,2,5,1,10
s,1,1,1,1,406,100001,2,5,1,10
Pi,1,1,0.5,0.5,407,100001,2,2,1,10
Pi,2,1,0.5,0.5,407,100001,2,2,1,10
pp,1,1,0.99998,0.9998233103122816,407,100001,2,2,1,10
pp,2,1,2e-5,9.362485294509531e-5,407,100001,2,2,1,10
pp,1,2,2e-5,1.766896877185374e-4,407,100001,2,2,1,10
pp,2,2,0.99998,0.9999063751470549,407,100001,2,2,1,10
s,1,1,1,1,407,100001,2,2,1,10
Pi,1,1,0.5,0.5,408,100001,2,1000,1,10
Pi,2,1,0.5,0.5,408,100001,2,1000,1,10
pp,1,1,0.99,0.9855502315306774,408,100001,2,1000,1,10
pp,2,1,0.01,0.011264986765715008,408,100001,2,1000,1,10
pp,1,2,0.01,0.014449768469322508,408,100001,2,1000,1,10
pp,2,2,0.99,0.988735013234285,408,100001,2,1000,1,10
s,1,1,1,1,408,100001,2,1000,1,10
Pi,1,1,0.5,0.5,409,100001,2,20,1,10
Pi,2,1,0.5,0.5,409,100001,2,20,1,10
pp,1,1,0.9998,0.9986622087165751,409,100001,2,20,1,10
pp,2,1,2e-4,0.0012810575906096991,409,100001,2,20,1,10
pp,1,2,2e-4,0.0013377912834248702,409,100001,2,20,1,10
pp,2,2,0.9998,0.9987189424093902,409,100001,2,20,1,10
s,1,1,1,1,409,100001,2,20,1,10
Pi,1,1,0.5,0.5,410,100001,2,5,1,10
Pi,2,1,0.5,0.5,410,100001,2,5,1,10
pp,1,1,0.99995,0.9997043963625164,410,100001,2,5,1,10
pp,2,1,5e-5,1.2329629655784616e-4,410,100001,2,5,1,10
pp,1,2,5e-5,2.9560363748354227e-4,410,100001,2,5,1,10
pp,2,2,0.99995,0.9998767037034423,410,100001,2,5,1,10
s,1,1,1,1,410,100001,2,5,1,10
Pi,1,1,0.5,0.5,411,100001,2,5,1,10
Pi,2,1,0.5,0.5,411,100001,2,5,1,10
pp,1,1,0.99995,0.9996574094600106,411,100001,2,5,1,10
pp,2,1,5e-5,1.920309617995587e-5,411,100001,2,5,1,10
pp,1,2,5e-5,3.4259053998950584e-4,411,100001,2,5,1,10
pp,2,2,0.99995,0.99998079690382,411,100001,2,5,1,10
s,1,1,1,1,411,100001,2,5,1,10
Pi,1,1,0.5,0.5,412,100001,2,5,1,10
Pi,2,1,0.5,0.5,412,100001,2,5,1,10
pp,1,1,0.99995,0.9999848151680087,412,100001,2,5,1,10
pp,2,1,5e-5,2.0861859989871752e-4,412,100001,2,5,1,10
pp,1,2,5e-5,1.5184831991216212e-5,412,100001,2,5,1,10
pp,2,2,0.99995,0.9997913814001013,412,100001,2,5,1,10
s,1,1,1,1,412,100001,2,5,1,10
Pi,1,1,0.5,0.5,413,100001,2,10,1,10
Pi,2,1,0.5,0.5,413,100001,2,10,1,10
pp,1,1,0.9999,0.9998003039901223,413,100001,2,10,1,10
pp,2,1,1e-4,6.867299283431429e-4,413,100001,2,10,1,10
pp,1,2,1e-4,1.9969600987770696e-4,413,100001,2,10,1,10
pp,2,2,0.9999,0.9993132700716568,413,100001,2,10,1,10
s,1,1,1,1,413,100001,2,10,1,10
Pi,1,1,0.5,0.5,414,100001,2,10,1,10
Pi,2,1,0.5,0.5,414,100001,2,10,1,10
pp,1,1,0.9999,0.9996459865419821,414,100001,2,10,1,10
pp,2,1,1e-4,9.416968216126023e-4,414,100001,2,10,1,10
pp,1,2,1e-4,3.5401345801781186e-4,414,100001,2,10,1,10
pp,2,2,0.9999,0.9990583031783874,414,100001,2,10,1,10
s,1,1,1,1,414,100001,2,10,1,10
Pi,1,1,0.5,0.5,415,100001,2,1,1,10
Pi,2,1,0.5,0.5,415,100001,2,1,1,10
pp,1,1,0.99999,0.9999563594117519,415,100001,2,1,1,10
pp,2,1,1e-5,6.370137885903978e-6,415,100001,2,1,1,10
pp,1,2,1e-5,4.36405882480426e-5,415,100001,2,1,1,10
pp,2,2,0.99999,0.9999936298621142,415,100001,2,1,1,10
s,1,1,1,1,415,100001,2,1,1,10
Pi,1,1,0.5,0.5,416,100001,2,50,1,10
Pi,2,1,0.5,0.5,416,100001,2,50,1,10
pp,1,1,0.9995,0.995950380272839,416,100001,2,50,1,10
pp,2,1,5e-4,0.0013959743701113273,416,100001,2,50,1,10
pp,1,2,5e-4,0.004049619727161006,416,100001,2,50,1,10
pp,2,2,0.9995,0.9986040256298886,416,100001,2,50,1,10
s,1,1,1,1,416,100001,2,50,1,10
Pi,1,1,0.5,0.5,417,100001,2,50,1,10
Pi,2,1,0.5,0.5,417,100001,2,50,1,10
pp,1,1,0.9995,0.999343978755303,417,100001,2,50,1,10
pp,2,1,5e-4,9.917852275030772e-4,417,100001,2,50,1,10
pp,1,2,5e-4,6.560212446970172e-4,417,100001,2,50,1,10
pp,2,2,0.9995,0.9990082147724968,417,100001,2,50,1,10
s,1,1,1,1,417,100001,2,50,1,10
Pi,1,1,0.5,0.5,418,100001,2,500,1,10
Pi,2,1,0.5,0.5,418,100001,2,500,1,10
pp,1,1,0.995,0.9741066672254585,418,100001,2,500,1,10
pp,2,1,0.005,0.00206265300356102,418,100001,2,500,1,10
pp,1,2,0.005,0.025893332774541616,418,100001,2,500,1,10
pp,2,2,0.995,0.997937346996439,418,100001,2,500,1,10
s,1,1,1,1,418,100001,2,500,1,10
Pi,1,1,0.5,0.5,419,100001,2,2,1,10
Pi,2,1,0.5,0.5,419,100001,2,2,1,10
pp,1,1,0.99998,0.9998381100255305,419,100001,2,2,1,10
pp,2,1,2e-5,1.9158209497288853e-4,419,100001,2,2,1,10
pp,1,2,2e-5,1.618899744695686e-4,419,100001,2,2,1,10
pp,2,2,0.99998,0.9998084179050271,419,100001,2,2,1,10
s,1,1,1,1,419,100001,2,2,1,10
Pi,1,1,0.5,0.5,420,100001,2,200,1,10
Pi,2,1,0.5,0.5,420,100001,2,200,1,10
pp,1,1,0.998,0.9987246970403364,420,100001,2,200,1,10
pp,2,1,0.002,0.016114300777699188,420,100001,2,200,1,10
pp,1,2,0.002,0.0012753029596636223,420,100001,2,200,1,10
pp,2,2,0.998,0.9838856992223007,420,100001,2,200,1,10
s,1,1,1,1,420,100001,2,200,1,10
Pi,1,1,0.5,0.5,421,100001,2,200,1,10
Pi,2,1,0.5,0.5,421,100001,2,200,1,10
pp,1,1,0.998,0.988357289091678,421,100001,2,200,1,10
pp,2,1,0.002,0.012759987664268781,421,100001,2,200,1,10
pp,1,2,0.002,0.01164271090832199,421,100001,2,200,1,10
pp,2,2,0.998,0.9872400123357312,421,100001,2,200,1,10
s,1,1,1,1,421,100001,2,200,1,10
Pi,1,1,0.5,0.5,422,100001,2,100,1,10
Pi,2,1,0.5,0.5,422,100001,2,100,1,10
pp,1,1,0.999,0.9967280077806788,422,100001,2,100,1,10
pp,2,1,0.001,0.002932614830804904,422,100001,2,100,1,10
pp,1,2,0.001,0.0032719922193211433,422,100001,2,100,1,10
pp,2,2,0.999,0.9970673851691951,422,100001,2,100,1,10
s,1,1,1,1,422,100001,2,100,1,10
Pi,1,1,0.5,0.5,423,100001,2,50,1,10
Pi,2,1,0.5,0.5,423,100001,2,50,1,10
pp,1,1,0.9995,0.9997567509871852,423,100001,2,50,1,10
pp,2,1,5e-4,0.004658107210969707,423,100001,2,50,1,10
pp,1,2,5e-4,2.4324901281488816e-4,423,100001,2,50,1,10
pp,2,2,0.9995,0.9953418927890303,423,100001,2,50,1,10
s,1,1,1,1,423,100001,2,50,1,10
Pi,1,1,0.5,0.5,424,100001,2,10,1,10
Pi,2,1,0.5,0.5,424,100001,2,10,1,10
pp,1,1,0.9999,0.999711997257604,424,100001,2,10,1,10
pp,2,1,1e-4,1.4368580627159339e-4,424,100001,2,10,1,10
pp,1,2,1e-4,2.8800274239599866e-4,424,100001,2,10,1,10
pp,2,2,0.9999,0.9998563141937284,424,100001,2,10,1,10
s,1,1,1,1,424,100001,2,10,1,10
Pi,1,1,0.5,0.5,425,100001,2,20,1,10
Pi,2,1,0.5,0.5,425,100001,2,20,1,10
pp,1,1,0.9998,0.9987760937146546,425,100001,2,20,1,10
pp,2,1,2e-4,0.0017918207948563435,425,100001,2,20,1,10
pp,1,2,2e-4,0.0012239062853454674,425,100001,2,20,1,10
pp,2,2,0.9998,0.9982081792051436,425,100001,2,20,1,10
s,1,1,1,1,425,100001,2,20,1,10
Pi,1,1,0.5,0.5,426,100001,2,50,1,10
Pi,2,1,0.5,0.5,426,100001,2,50,1,10
pp,1,1,0.9995,0.9960327193457335,426,100001,2,50,1,10
pp,2,1,5e-4,0.0028586506687278994,426,100001,2,50,1,10
pp,1,2,5e-4,0.003967280654266521,426,100001,2,50,1,10
pp,2,2,0.9995,0.997141349331272,426,100001,2,50,1,10
s,1,1,1,1,426,100001,2,50,1,10
Pi,1,1,0.5,0.5,427,100001,2,5,1,10
Pi,2,1,0.5,0.5,427,100001,2,5,1,10
pp,1,1,0.99995,0.9999843610953977,427,100001,2,5,1,10
pp,2,1,5e-5,2.5014743683090347e-4,427,100001,2,5,1,10
pp,1,2,5e-5,1.5638904602315985e-5,427,100001,2,5,1,10
pp,2,2,0.99995,0.999749852563169,427,100001,2,5,1,10
s,1,1,1,1,427,100001,2,5,1,10
Pi,1,1,0.5,0.5,428,100001,2,20,1,10
Pi,2,1,0.5,0.5,428,100001,2,20,1,10
pp,1,1,0.9998,0.9995778483904969,428,100001,2,20,1,10
pp,2,1,2e-4,0.0011960498526797164,428,100001,2,20,1,10
pp,1,2,2e-4,4.221516095030948e-4,428,100001,2,20,1,10
pp,2,2,0.9998,0.9988039501473204,428,100001,2,20,1,10
s,1,1,1,1,428,100001,2,20,1,10
Pi,1,1,0.5,0.5,429,100001,2,2,1,10
Pi,2,1,0.5,0.5,429,100001,2,2,1,10
pp,1,1,0.99998,0.9998649000082802,429,100001,2,2,1,10
pp,2,1,2e-5,7.555761617828619e-5,429,100001,2,2,1,10
pp,1,2,2e-5,1.3509999171979343e-4,429,100001,2,2,1,10
pp,2,2,0.99998,0.9999244423838216,429,100001,2,2,1,10
s,1,1,1,1,429,100001,2,2,1,10
Pi,1,1,0.5,0.5,430,100001,2,1000,1,10
Pi,2,1,0.5,0.5,430,100001,2,1000,1,10
pp,1,1,0.99,0.9367668439472402,430,100001,2,1000,1,10
pp,2,1,0.01,0.05183569065674732,430,100001,2,1000,1,10
pp,1,2,0.01,0.06323315605275975,430,100001,2,1000,1,10
pp,2,2,0.99,0.9481643093432526,430,100001,2,1000,1,10
s,1,1,1,1,430,100001,2,1000,1,10
Pi,1,1,0.5,0.5,431,100001,2,500,1,10
Pi,2,1,0.5,0.5,431,100001,2,500,1,10
pp,1,1,0.995,0.9659734683222899,431,100001,2,500,1,10
pp,2,1,0.005,0.027297155480229377,431,100001,2,500,1,10
pp,1,2,0.005,0.03402653167771022,431,100001,2,500,1,10
pp,2,2,0.995,0.9727028445197706,431,100001,2,500,1,10
s,1,1,1,1,431,100001,2,500,1,10
Pi,1,1,0.5,0.5,432,100001,2,5,1,10
Pi,2,1,0.5,0.5,432,100001,2,5,1,10
pp,1,1,0.99995,0.9998499085145195,432,100001,2,5,1,10
pp,2,1,5e-5,4.2021391862067075e-4,432,100001,2,5,1,10
pp,1,2,5e-5,1.5009148548055743e-4,432,100001,2,5,1,10
pp,2,2,0.99995,0.9995797860813793,432,100001,2,5,1,10
s,1,1,1,1,432,100001,2,5,1,10
Pi,1,1,0.5,0.5,433,100001,2,100,1,10
Pi,2,1,0.5,0.5,433,100001,2,100,1,10
pp,1,1,0.999,0.9955433007035198,433,100001,2,100,1,10
pp,2,1,0.001,0.006092498949625119,433,100001,2,100,1,10
pp,1,2,0.001,0.004456699296480189,433,100001,2,100,1,10
pp,2,2,0.999,0.993907501050375,433,100001,2,100,1,10
s,1,1,1,1,433,100001,2,100,1,10
Pi,1,1,0.5,0.5,434,100001,2,200,1,10
Pi,2,1,0.5,0.5,434,100001,2,200,1,10
pp,1,1,0.998,0.9810392143346296,434,100001,2,200,1,10
pp,2,1,0.002,0.006984515607490836,434,100001,2,200,1,10
pp,1,2,0.002,0.0189607856653704,434,100001,2,200,1,10
pp,2,2,0.998,0.9930154843925092,434,100001,2,200,1,10
s,1,1,1,1,434,100001,2,200,1,10
Pi,1,1,0.5,0.5,435,100001,2,1,1,10
Pi,2,1,0.5,0.5,435,100001,2,1,1,10
pp,1,1,0.99999,0.9999958939468473,435,100001,2,1,1,10
pp,2,1,1e-5,1.8352506232182438e-5,435,100001,2,1,1,10
pp,1,2,1e-5,4.1060531526629065e-6,435,100001,2,1,1,10
pp,2,2,0.99999,0.9999816474937678,435,100001,2,1,1,10
s,1,1,1,1,435,100001,2,1,1,10
Pi,1,1,0.5,0.5,436,100001,2,1000,1,10
Pi,2,1,0.5,0.5,436,100001,2,1000,1,10
pp,1,1,0.99,0.9570148616036851,436,100001,2,1000,1,10
pp,2,1,0.01,0.048364916021479167,436,100001,2,1000,1,10
pp,1,2,0.01,0.04298513839631482,436,100001,2,1000,1,10
pp,2,2,0.99,0.9516350839785208,436,100001,2,1000,1,10
s,1,1,1,1,436,100001,2,1000,1,10
Pi,1,1,0.5,0.5,437,100001,2,20,1,10
Pi,2,1,0.5,0.5,437,100001,2,20,1,10
pp,1,1,0.9998,0.9997339232908261,437,100001,2,20,1,10
pp,2,1,2e-4,0.0015038927172009858,437,100001,2,20,1,10
pp,1,2,2e-4,2.6607670917402475e-4,437,100001,2,20,1,10
pp,2,2,0.9998,0.9984961072827989,437,100001,2,20,1,10
s,1,1,1,1,437,100001,2,20,1,10
Pi,1,1,0.5,0.5,438,100001,2,500,1,10
Pi,2,1,0.5,0.5,438,100001,2,500,1,10
pp,1,1,0.995,0.985953736539263,438,100001,2,500,1,10
pp,2,1,0.005,0.010064198850140395,438,100001,2,500,1,10
pp,1,2,0.005,0.014046263460737089,438,100001,2,500,1,10
pp,2,2,0.995,0.9899358011498597,438,100001,2,500,1,10
s,1,1,1,1,438,100001,2,500,1,10
Pi,1,1,0.5,0.5,439,100001,2,1000,1,10
Pi,2,1,0.5,0.5,439,100001,2,1000,1,10
pp,1,1,0.99,0.97395263524993,439,100001,2,1000,1,10
pp,2,1,0.01,0.07106243180593935,439,100001,2,1000,1,10
pp,1,2,0.01,0.026047364750069888,439,100001,2,1000,1,10
pp,2,2,0.99,0.9289375681940606,439,100001,2,1000,1,10
s,1,1,1,1,439,100001,2,1000,1,10
Pi,1,1,0.5,0.5,440,100001,2,5,1,10
Pi,2,1,0.5,0.5,440,100001,2,5,1,10
pp,1,1,0.99995,0.9995371605580479,440,100001,2,5,1,10
pp,2,1,5e-5,3.350404832102139e-4,440,100001,2,5,1,10
pp,1,2,5e-5,4.628394419521316e-4,440,100001,2,5,1,10
pp,2,2,0.99995,0.9996649595167897,440,100001,2,5,1,10
s,1,1,1,1,440,100001,2,5,1,10
Pi,1,1,0.5,0.5,441,100001,2,1000,1,10
Pi,2,1,0.5,0.5,441,100001,2,1000,1,10
pp,1,1,0.99,0.9677287371164656,441,100001,2,1000,1,10
pp,2,1,0.01,0.022825860579856333,441,100001,2,1000,1,10
pp,1,2,0.01,0.032271262883534435,441,100001,2,1000,1,10
pp,2,2,0.99,0.9771741394201436,441,100001,2,1000,1,10
s,1,1,1,1,441,100001,2,1000,1,10
Pi,1,1,0.5,0.5,442,100001,2,500,1,10
Pi,2,1,0.5,0.5,442,100001,2,500,1,10
pp,1,1,0.995,0.953094453984377,442,100001,2,500,1,10
pp,2,1,0.005,0.0462311844868934,442,100001,2,500,1,10
pp,1,2,0.005,0.04690554601562309,442,100001,2,500,1,10
pp,2,2,0.995,0.9537688155131067,442,100001,2,500,1,10
s,1,1,1,1,442,100001,2,500,1,10
Pi,1,1,0.5,0.5,443,100001,2,1000,1,10
Pi,2,1,0.5,0.5,443,100001,2,1000,1,10
pp,1,1,0.99,0.928118458483777,443,100001,2,1000,1,10
pp,2,1,0.01,0.01105569507761759,443,100001,2,1000,1,10
pp,1,2,0.01,0.07188154151622292,443,100001,2,1000,1,10
pp,2,2,0.99,0.9889443049223823,443,100001,2,1000,1,10
s,1,1,1,1,443,100001,2,1000,1,10
Pi,1,1,0.5,0.5,444,100001,2,5,1,10
Pi,2,1,0.5,0.5,444,100001,2,5,1,10
pp,1,1,0.99995,0.999992937066049,444,100001,2,5,1,10
pp,2,1,5e-5,5.174470737296689e-5,444,100001,2,5,1,10
pp,1,2,5e-5,7.0629339509452755e-6,444,100001,2,5,1,10
pp,2,2,0.99995,0.999948255292627,444,100001,2,5,1,10
s,1,1,1,1,444,100001,2,5,1,10
Pi,1,1,0.5,0.5,445,100001,2,1000,1,10
Pi,2,1,0.5,0.5,445,100001,2,1000,1,10
pp,1,1,0.99,0.9331028684418764,445,100001,2,1000,1,10
pp,2,1,0.01,0.021742778349830554,445,100001,2,1000,1,10
pp,1,2,0.01,0.06689713155812362,445,100001,2,1000,1,10
pp,2,2,0.99,0.9782572216501694,445,100001,2,1000,1,10
s,1,1,1,1,445,100001,2,1000,1,10
Pi,1,1,0.5,0.5,446,100001,2,500,1,10
Pi,2,1,0.5,0.5,446,100001,2,500,1,10
pp,1,1,0.995,0.9613527645709968,446,100001,2,500,1,10
pp,2,1,0.005,0.02814150327748087,446,100001,2,500,1,10
pp,1,2,0.005,0.03864723542900318,446,100001,2,500,1,10
pp,2,2,0.995,0.9718584967225192,446,100001,2,500,1,10
s,1,1,1,1,446,100001,2,500,1,10
Pi,1,1,0.5,0.5,447,100001,2,1000,1,10
Pi,2,1,0.5,0.5,447,100001,2,1000,1,10
pp,1,1,0.99,0.9166884241378256,447,100001,2,1000,1,10
pp,2,1,0.01,0.073109329905425,447,100001,2,1000,1,10
pp,1,2,0.01,0.08331157586217441,447,100001,2,1000,1,10
pp,2,2,0.99,0.926890670094575,447,100001,2,1000,1,10
s,1,1,1,1,447,100001,2,1000,1,10
Pi,1,1,0.5,0.5,448,100001,2,10,1,10
Pi,2,1,0.5,0.5,448,100001,2,10,1,10
pp,1,1,0.9999,0.9997140575753157,448,100001,2,10,1,10
pp,2,1,1e-4,6.285479132176474e-4,448,100001,2,10,1,10
pp,1,2,1e-4,2.859424246841936e-4,448,100001,2,10,1,10
pp,2,2,0.9999,0.9993714520867825,448,100001,2,10,1,10
s,1,1,1,1,448,100001,2,10,1,10
Pi,1,1,0.5,0.5,449,100001,2,10,1,10
Pi,2,1,0.5,0.5,449,100001,2,10,1,10
pp,1,1,0.9999,0.9993663607101795,449,100001,2,10,1,10
pp,2,1,1e-4,4.5429721267679624e-5,449,100001,2,10,1,10
pp,1,2,1e-4,6.336392898205512e-4,449,100001,2,10,1,10
pp,2,2,0.9999,0.9999545702787324,449,100001,2,10,1,10
s,1,1,1,1,449,100001,2,10,1,10
Pi,1,1,0.5,0.5,450,100001,2,200,1,10
Pi,2,1,0.5,0.5,450,100001,2,200,1,10
pp,1,1,0.998,0.9992494847549467,450,100001,2,200,1,10
pp,2,1,0.002,0.0031529709281190145,450,100001,2,200,1,10
pp,1,2,0.002,7.505152450533536e-4,450,100001,2,200,1,10
pp,2,2,0.998,0.9968470290718809,450,100001,2,200,1,10
s,1,1,1,1,450,100001,2,200,1,10
Pi,1,1,0.5,0.5,451,100001,2,50,1,10
Pi,2,1,0.5,0.5,451,100001,2,50,1,10
